transaction_id,product_id,product_name,category,quantity,price,seller_id,region,timestamp
T32,P70,Product F,Cat2,1,140.36,S1,North,2025-01-01 00:32:00
T33,P69,Product Q,Cat4,9,317.8,S17,North,2025-01-01 00:33:00
T34,P94,Product C,Cat2,7,198.1,S16,West,2025-01-01 00:34:00
T35,P21,Product L,Cat1,2,30.98,S3,East,2025-01-01 00:35:00
T36,P5,Product I,Cat3,5,435.53,S7,East,2025-01-01 00:36:00
T37,P86,Product T,Cat4,2,483.31,S2,West,2025-01-01 00:37:00
T38,P20,Product Q,Cat3,5,97.9,S7,South,2025-01-01 00:38:00
T39,P42,Product I,Cat4,9,359.94,S16,South,2025-01-01 00:39:00
T40,P55,Product C,Cat4,9,287.65,S13,North,2025-01-01 00:40:00
T41,P26,Product L,Cat3,4,14.1,S1,West,2025-01-01 00:41:00
T42,P43,Product F,Cat1,7,389.32,S11,West,2025-01-01 00:42:00
T43,P78,Product T,Cat1,4,166.75,S5,East,2025-01-01 00:43:00
T44,P27,Product A,Cat1,5,280.06,S9,East,2025-01-01 00:44:00
T45,P13,Product A,Cat3,3,390.06,S18,West,2025-01-01 00:45:00
T46,P29,Product M,Cat5,2,408.94,S1,South,2025-01-01 00:46:00
T47,P64,Product I,Cat5,10,274.74,S16,South,2025-01-01 00:47:00
T48,P92,Product R,Cat1,10,172.7,S19,East,2025-01-01 00:48:00
T49,P79,Product G,Cat2,7,208.31,S10,West,2025-01-01 00:49:00
T50,P75,Product Q,Cat3,10,364.03,S11,West,2025-01-01 00:50:00
T51,P74,Product M,Cat4,4,114.2,S11,South,2025-01-01 00:51:00
T52,P57,Product O,Cat5,9,186.39,S5,East,2025-01-01 00:52:00
T53,P24,Product R,Cat3,5,178.69,S20,South,2025-01-01 00:53:00
T54,P5,Product N,Cat5,10,77.86,S5,South,2025-01-01 00:54:00
T55,P28,Product L,Cat2,9,39.15,S12,South,2025-01-01 00:55:00
T56,P48,Product T,Cat3,8,29.42,S2,East,2025-01-01 00:56:00
T57,P33,Product P,Cat4,10,228.18,S2,South,2025-01-01 00:57:00
T58,P82,Product K,Cat5,8,473.23,S8,West,2025-01-01 00:58:00
T59,P80,Product I,Cat1,6,429.45,S18,East,2025-01-01 00:59:00
T60,P27,Product O,Cat4,1,32.97,S4,North,2025-01-01 01:00:00
T61,P20,Product N,Cat2,5,140.98,S17,South,2025-01-01 01:01:00
T62,P72,Product N,Cat2,8,136.77,S1,East,2025-01-01 01:02:00
T63,P77,Product J,Cat2,8,344.13,S12,West,2025-01-01 01:03:00
T64,P22,Product G,Cat4,9,428.68,S8,North,2025-01-01 01:04:00
T65,P22,Product T,Cat5,3,94.53,S11,South,2025-01-01 01:05:00
T66,P54,Product S,Cat2,9,450.39,S16,South,2025-01-01 01:06:00
T67,P94,Product D,Cat1,8,416.81,S16,South,2025-01-01 01:07:00
T68,P60,Product N,Cat1,6,76.99,S20,East,2025-01-01 01:08:00
T69,P58,Product I,Cat4,1,215.52,S2,West,2025-01-01 01:09:00
T70,P59,Product B,Cat5,5,211.04,S19,North,2025-01-01 01:10:00
T71,P65,Product E,Cat1,8,257.58,S12,North,2025-01-01 01:11:00
T72,P48,Product G,Cat4,4,483.81,S15,South,2025-01-01 01:12:00
T73,P95,Product T,Cat4,7,483.05,S3,South,2025-01-01 01:13:00
T74,P95,Product F,Cat3,2,121.35,S9,West,2025-01-01 01:14:00
T75,P68,Product S,Cat4,6,443.0,S19,East,2025-01-01 01:15:00
T76,P27,Product I,Cat3,1,95.08,S15,West,2025-01-01 01:16:00
T77,P88,Product K,Cat5,7,402.45,S3,East,2025-01-01 01:17:00
T78,P91,Product P,Cat2,3,255.19,S6,South,2025-01-01 01:18:00
T79,P66,Product T,Cat5,10,365.48,S17,South,2025-01-01 01:19:00
T80,P26,Product T,Cat2,4,321.08,S20,North,2025-01-01 01:20:00
T81,P77,Product S,Cat3,7,12.09,S9,North,2025-01-01 01:21:00
T82,P66,Product S,Cat5,6,428.31,S7,North,2025-01-01 01:22:00
T83,P11,Product P,Cat2,2,241.16,S18,East,2025-01-01 01:23:00
T84,P25,Product I,Cat4,9,96.63,S6,South,2025-01-01 01:24:00
T85,P60,Product E,Cat1,10,465.77,S9,South,2025-01-01 01:25:00
T86,P57,Product L,Cat5,8,403.08,S18,West,2025-01-01 01:26:00
T87,P86,Product O,Cat2,1,345.55,S13,North,2025-01-01 01:27:00
T88,P52,Product G,Cat5,9,318.11,S9,East,2025-01-01 01:28:00
T89,P61,Product F,Cat4,4,133.86,S18,West,2025-01-01 01:29:00
T90,P23,Product C,Cat2,1,400.11,S20,East,2025-01-01 01:30:00
T91,P84,Product M,Cat4,8,221.32,S18,East,2025-01-01 01:31:00
T92,P13,Product C,Cat3,6,345.5,S3,South,2025-01-01 01:32:00
T93,P61,Product A,Cat1,7,397.49,S14,East,2025-01-01 01:33:00
T94,P85,Product H,Cat2,8,147.28,S20,East,2025-01-01 01:34:00
T95,P14,Product E,Cat1,5,403.95,S16,North,2025-01-01 01:35:00
T96,P100,Product J,Cat4,6,15.11,S4,East,2025-01-01 01:36:00
T97,P17,Product C,Cat1,10,123.03,S3,West,2025-01-01 01:37:00
T98,P71,Product E,Cat2,9,311.9,S7,South,2025-01-01 01:38:00
T99,P98,Product S,Cat3,2,223.68,S4,North,2025-01-01 01:39:00
T100,P40,Product D,Cat4,9,222.42,S11,East,2025-01-01 01:40:00
T101,P51,Product B,Cat3,2,197.46,S19,South,2025-01-01 01:41:00
T102,P49,Product M,Cat1,10,261.56,S16,South,2025-01-01 01:42:00
T103,P93,Product J,Cat5,9,336.82,S9,South,2025-01-01 01:43:00
T104,P28,Product K,Cat3,5,122.34,S11,South,2025-01-01 01:44:00
T105,P59,Product B,Cat4,3,198.28,S8,South,2025-01-01 01:45:00
T106,P77,Product N,Cat3,9,166.0,S5,West,2025-01-01 01:46:00
T107,P61,Product A,Cat2,5,233.48,S9,North,2025-01-01 01:47:00
T108,P1,Product B,Cat3,10,12.38,S2,South,2025-01-01 01:48:00
T109,P95,Product C,Cat1,2,248.25,S13,West,2025-01-01 01:49:00
T110,P42,Product N,Cat4,1,201.62,S12,North,2025-01-01 01:50:00
T111,P47,Product S,Cat3,3,234.67,S16,South,2025-01-01 01:51:00
T112,P67,Product S,Cat1,7,57.05,S7,South,2025-01-01 01:52:00
T113,P28,Product Q,Cat5,5,414.84,S14,South,2025-01-01 01:53:00
T114,P12,Product G,Cat2,1,60.74,S3,West,2025-01-01 01:54:00
T115,P57,Product D,Cat1,5,231.35,S14,South,2025-01-01 01:55:00
T116,P75,Product S,Cat2,7,135.87,S12,East,2025-01-01 01:56:00
T117,P37,Product S,Cat1,8,375.01,S6,North,2025-01-01 01:57:00
T118,P59,Product E,Cat5,5,271.37,S13,North,2025-01-01 01:58:00
T119,P95,Product D,Cat4,9,76.04,S16,South,2025-01-01 01:59:00
T120,P57,Product C,Cat3,6,420.42,S15,East,2025-01-01 02:00:00
T121,P1,Product O,Cat3,5,332.53,S3,West,2025-01-01 02:01:00
T122,P50,Product M,Cat5,1,295.13,S9,North,2025-01-01 02:02:00
T123,P41,Product A,Cat4,7,165.87,S10,East,2025-01-01 02:03:00
T124,P51,Product C,Cat4,2,437.99,S8,North,2025-01-01 02:04:00
T125,P31,Product P,Cat4,3,188.92,S1,East,2025-01-01 02:05:00
T126,P17,Product K,Cat5,3,414.95,S11,West,2025-01-01 02:06:00
T127,P53,Product I,Cat1,2,404.94,S1,North,2025-01-01 02:07:00
T128,P24,Product D,Cat1,7,149.38,S4,North,2025-01-01 02:08:00
T129,P32,Product N,Cat2,4,409.04,S3,South,2025-01-01 02:09:00
T130,P3,Product K,Cat4,8,141.43,S7,West,2025-01-01 02:10:00
T131,P12,Product G,Cat2,1,366.9,S10,South,2025-01-01 02:11:00
T132,P27,Product I,Cat2,2,474.42,S12,East,2025-01-01 02:12:00
T133,P10,Product L,Cat4,10,125.62,S4,West,2025-01-01 02:13:00
T134,P74,Product I,Cat3,2,399.52,S9,West,2025-01-01 02:14:00
T135,P86,Product N,Cat3,2,455.43,S7,East,2025-01-01 02:15:00
T136,P56,Product P,Cat4,6,439.74,S6,South,2025-01-01 02:16:00
T137,P53,Product D,Cat2,8,152.08,S18,East,2025-01-01 02:17:00
T138,P75,Product D,Cat2,4,301.19,S19,West,2025-01-01 02:18:00
T139,P53,Product O,Cat4,8,442.78,S3,South,2025-01-01 02:19:00
T140,P7,Product H,Cat3,10,468.96,S5,North,2025-01-01 02:20:00
T141,P3,Product G,Cat4,6,199.6,S15,South,2025-01-01 02:21:00
T142,P41,Product B,Cat1,3,471.0,S5,South,2025-01-01 02:22:00
T143,P17,Product G,Cat1,6,369.35,S1,South,2025-01-01 02:23:00
T144,P5,Product R,Cat3,2,69.97,S7,East,2025-01-01 02:24:00
T145,P65,Product J,Cat1,3,183.45,S2,East,2025-01-01 02:25:00
T146,P64,Product K,Cat4,9,367.37,S3,South,2025-01-01 02:26:00
T147,P72,Product M,Cat1,8,403.38,S13,West,2025-01-01 02:27:00
T148,P92,Product E,Cat2,5,106.57,S8,West,2025-01-01 02:28:00
T149,P79,Product H,Cat5,6,295.04,S19,North,2025-01-01 02:29:00
T150,P76,Product L,Cat5,10,224.9,S10,East,2025-01-01 02:30:00
T151,P91,Product K,Cat1,10,264.68,S9,North,2025-01-01 02:31:00
T152,P12,Product D,Cat4,10,255.66,S15,West,2025-01-01 02:32:00
T153,P84,Product B,Cat4,9,232.03,S18,South,2025-01-01 02:33:00
T154,P1,Product C,Cat3,10,51.26,S19,West,2025-01-01 02:34:00
T155,P67,Product Q,Cat3,1,82.79,S16,West,2025-01-01 02:35:00
T156,P63,Product M,Cat2,8,113.26,S1,South,2025-01-01 02:36:00
T157,P100,Product L,Cat1,7,263.17,S7,North,2025-01-01 02:37:00
T158,P35,Product I,Cat5,1,23.32,S3,North,2025-01-01 02:38:00
T159,P47,Product L,Cat3,10,155.89,S19,East,2025-01-01 02:39:00
T160,P97,Product K,Cat5,3,277.47,S3,South,2025-01-01 02:40:00
T161,P49,Product E,Cat3,6,82.57,S11,South,2025-01-01 02:41:00
T162,P62,Product B,Cat3,5,255.3,S5,East,2025-01-01 02:42:00
T163,P48,Product G,Cat1,1,156.47,S17,East,2025-01-01 02:43:00
T164,P94,Product T,Cat3,3,95.4,S9,West,2025-01-01 02:44:00
T165,P46,Product L,Cat1,8,24.89,S12,South,2025-01-01 02:45:00
T166,P88,Product Q,Cat3,3,261.12,S6,West,2025-01-01 02:46:00
T167,P63,Product F,Cat3,9,357.63,S20,North,2025-01-01 02:47:00
T168,P85,Product N,Cat5,4,244.15,S2,North,2025-01-01 02:48:00
T169,P36,Product M,Cat4,7,119.34,S8,East,2025-01-01 02:49:00
T170,P16,Product P,Cat5,3,30.53,S9,South,2025-01-01 02:50:00
T171,P89,Product O,Cat4,1,210.56,S10,North,2025-01-01 02:51:00
T172,P15,Product P,Cat5,10,368.31,S8,South,2025-01-01 02:52:00
T173,P90,Product H,Cat2,5,357.46,S7,North,2025-01-01 02:53:00
T174,P37,Product E,Cat1,9,243.85,S14,North,2025-01-01 02:54:00
T175,P65,Product C,Cat1,9,86.47,S2,West,2025-01-01 02:55:00
T176,P82,Product E,Cat4,6,93.43,S17,North,2025-01-01 02:56:00
T177,P15,Product G,Cat3,7,466.62,S11,North,2025-01-01 02:57:00
T178,P24,Product L,Cat4,5,322.92,S11,South,2025-01-01 02:58:00
T179,P3,Product G,Cat2,4,100.68,S4,East,2025-01-01 02:59:00
T180,P57,Product I,Cat2,7,213.65,S1,South,2025-01-01 03:00:00
T181,P71,Product E,Cat1,10,113.78,S9,North,2025-01-01 03:01:00
T182,P85,Product L,Cat5,2,305.23,S6,East,2025-01-01 03:02:00
T183,P87,Product F,Cat5,8,88.78,S20,East,2025-01-01 03:03:00
T184,P51,Product F,Cat4,9,145.28,S20,East,2025-01-01 03:04:00
T185,P41,Product A,Cat5,1,149.77,S15,South,2025-01-01 03:05:00
T186,P43,Product M,Cat1,9,265.66,S14,East,2025-01-01 03:06:00
T187,P31,Product G,Cat4,9,298.09,S2,North,2025-01-01 03:07:00
T188,P9,Product R,Cat4,3,463.35,S1,North,2025-01-01 03:08:00
T189,P47,Product Q,Cat5,6,224.16,S16,West,2025-01-01 03:09:00
T190,P96,Product Q,Cat5,6,122.87,S9,North,2025-01-01 03:10:00
T191,P73,Product D,Cat1,4,270.65,S3,South,2025-01-01 03:11:00
T192,P99,Product F,Cat1,2,308.76,S7,South,2025-01-01 03:12:00
T193,P61,Product H,Cat5,5,469.6,S13,West,2025-01-01 03:13:00
T194,P46,Product M,Cat2,7,42.14,S18,North,2025-01-01 03:14:00
T195,P70,Product C,Cat5,10,264.27,S7,West,2025-01-01 03:15:00
T196,P77,Product M,Cat5,10,375.1,S6,East,2025-01-01 03:16:00
T197,P89,Product F,Cat4,10,72.61,S14,North,2025-01-01 03:17:00
T198,P89,Product Q,Cat4,7,72.79,S13,North,2025-01-01 03:18:00
T199,P16,Product R,Cat2,8,446.67,S8,South,2025-01-01 03:19:00
T200,P29,Product A,Cat2,3,283.67,S15,East,2025-01-01 03:20:00
T201,P5,Product D,Cat5,2,78.19,S16,South,2025-01-01 03:21:00
T202,P26,Product K,Cat4,1,158.4,S18,East,2025-01-01 03:22:00
T203,P92,Product B,Cat2,5,75.27,S20,South,2025-01-01 03:23:00
T204,P13,Product J,Cat4,6,423.23,S20,North,2025-01-01 03:24:00
T205,P84,Product P,Cat5,8,367.63,S4,South,2025-01-01 03:25:00
T206,P83,Product L,Cat1,7,145.34,S14,West,2025-01-01 03:26:00
T207,P35,Product D,Cat1,9,226.76,S13,North,2025-01-01 03:27:00
T208,P8,Product T,Cat1,9,319.14,S17,East,2025-01-01 03:28:00
T209,P51,Product A,Cat1,4,469.8,S12,North,2025-01-01 03:29:00
T210,P59,Product R,Cat2,2,163.75,S14,West,2025-01-01 03:30:00
T211,P39,Product I,Cat1,6,18.87,S3,North,2025-01-01 03:31:00
T212,P30,Product I,Cat1,4,425.9,S2,West,2025-01-01 03:32:00
T213,P16,Product D,Cat3,3,491.36,S6,West,2025-01-01 03:33:00
T214,P7,Product J,Cat1,9,279.85,S8,South,2025-01-01 03:34:00
T215,P80,Product C,Cat5,10,294.78,S16,North,2025-01-01 03:35:00
T216,P1,Product D,Cat4,1,242.01,S15,North,2025-01-01 03:36:00
T217,P57,Product O,Cat2,5,189.14,S9,East,2025-01-01 03:37:00
T218,P29,Product T,Cat1,4,393.71,S18,West,2025-01-01 03:38:00
T219,P18,Product O,Cat2,2,174.09,S13,East,2025-01-01 03:39:00
T220,P47,Product G,Cat2,4,250.5,S6,East,2025-01-01 03:40:00
T221,P61,Product M,Cat4,4,359.2,S16,North,2025-01-01 03:41:00
T222,P37,Product N,Cat2,4,183.38,S20,West,2025-01-01 03:42:00
T223,P61,Product H,Cat3,1,261.17,S10,West,2025-01-01 03:43:00
T224,P23,Product E,Cat4,9,199.05,S8,South,2025-01-01 03:44:00
T225,P98,Product S,Cat1,3,443.76,S17,South,2025-01-01 03:45:00
T226,P70,Product M,Cat3,4,21.3,S2,West,2025-01-01 03:46:00
T227,P44,Product O,Cat3,8,83.63,S20,West,2025-01-01 03:47:00
T228,P34,Product K,Cat1,4,49.98,S9,South,2025-01-01 03:48:00
T229,P77,Product N,Cat2,1,233.39,S20,East,2025-01-01 03:49:00
T230,P43,Product D,Cat1,10,186.62,S13,West,2025-01-01 03:50:00
T231,P23,Product M,Cat1,7,428.25,S4,East,2025-01-01 03:51:00
T232,P86,Product G,Cat1,5,361.91,S17,South,2025-01-01 03:52:00
T233,P11,Product T,Cat4,2,482.23,S12,West,2025-01-01 03:53:00
T234,P99,Product A,Cat1,7,95.4,S13,West,2025-01-01 03:54:00
T235,P88,Product J,Cat4,7,437.93,S11,South,2025-01-01 03:55:00
T236,P79,Product D,Cat5,9,118.65,S6,West,2025-01-01 03:56:00
T237,P83,Product A,Cat1,7,362.34,S6,East,2025-01-01 03:57:00
T238,P28,Product L,Cat5,5,386.59,S11,North,2025-01-01 03:58:00
T239,P7,Product N,Cat2,2,251.73,S11,South,2025-01-01 03:59:00
T240,P63,Product R,Cat5,4,309.74,S9,East,2025-01-01 04:00:00
T241,P8,Product L,Cat5,9,472.3,S4,North,2025-01-01 04:01:00
T242,P37,Product H,Cat1,7,409.19,S20,South,2025-01-01 04:02:00
T243,P77,Product T,Cat1,8,211.21,S3,West,2025-01-01 04:03:00
T244,P66,Product G,Cat2,1,230.71,S11,South,2025-01-01 04:04:00
T245,P91,Product J,Cat1,8,335.39,S3,North,2025-01-01 04:05:00
T246,P56,Product M,Cat2,2,259.69,S7,South,2025-01-01 04:06:00
T247,P17,Product D,Cat4,1,256.02,S1,East,2025-01-01 04:07:00
T248,P84,Product A,Cat3,1,313.98,S2,East,2025-01-01 04:08:00
T249,P33,Product I,Cat1,3,206.54,S15,East,2025-01-01 04:09:00
T250,P98,Product G,Cat4,10,63.91,S8,West,2025-01-01 04:10:00
T251,P20,Product A,Cat5,7,312.93,S9,North,2025-01-01 04:11:00
T252,P40,Product I,Cat2,2,383.01,S9,West,2025-01-01 04:12:00
T253,P97,Product Q,Cat1,2,162.55,S10,North,2025-01-01 04:13:00
T254,P100,Product S,Cat3,8,346.47,S19,South,2025-01-01 04:14:00
T255,P47,Product E,Cat1,2,399.73,S8,North,2025-01-01 04:15:00
T256,P71,Product A,Cat2,4,415.14,S8,North,2025-01-01 04:16:00
T257,P3,Product C,Cat4,5,79.04,S8,North,2025-01-01 04:17:00
T258,P62,Product G,Cat1,3,442.33,S18,South,2025-01-01 04:18:00
T259,P36,Product K,Cat2,9,402.88,S18,North,2025-01-01 04:19:00
T260,P17,Product O,Cat3,3,58.26,S3,North,2025-01-01 04:20:00
T261,P48,Product I,Cat2,10,325.19,S4,East,2025-01-01 04:21:00
T262,P41,Product P,Cat2,7,392.61,S13,West,2025-01-01 04:22:00
T263,P36,Product H,Cat4,9,259.5,S5,South,2025-01-01 04:23:00
T264,P76,Product O,Cat4,6,267.31,S2,North,2025-01-01 04:24:00
T265,P30,Product N,Cat3,3,172.63,S1,West,2025-01-01 04:25:00
T266,P14,Product N,Cat1,10,291.03,S6,East,2025-01-01 04:26:00
T267,P97,Product N,Cat3,2,31.19,S20,East,2025-01-01 04:27:00
T268,P72,Product N,Cat5,8,310.45,S19,West,2025-01-01 04:28:00
T269,P97,Product F,Cat3,10,460.37,S10,West,2025-01-01 04:29:00
T270,P35,Product B,Cat2,7,194.29,S9,West,2025-01-01 04:30:00
T271,P49,Product N,Cat3,9,312.82,S2,North,2025-01-01 04:31:00
T272,P9,Product E,Cat5,10,371.48,S14,West,2025-01-01 04:32:00
T273,P60,Product C,Cat1,8,486.42,S2,North,2025-01-01 04:33:00
T274,P65,Product H,Cat2,7,322.32,S2,South,2025-01-01 04:34:00
T275,P95,Product L,Cat2,8,356.62,S20,West,2025-01-01 04:35:00
T276,P72,Product D,Cat4,7,351.9,S14,South,2025-01-01 04:36:00
T277,P99,Product E,Cat2,6,287.69,S4,South,2025-01-01 04:37:00
T278,P62,Product P,Cat4,7,189.46,S9,South,2025-01-01 04:38:00
T279,P45,Product C,Cat4,7,335.79,S12,East,2025-01-01 04:39:00
T280,P6,Product R,Cat1,1,399.14,S4,North,2025-01-01 04:40:00
T281,P94,Product E,Cat3,4,37.05,S3,West,2025-01-01 04:41:00
T282,P96,Product D,Cat3,8,347.06,S1,West,2025-01-01 04:42:00
T283,P48,Product I,Cat4,5,404.35,S13,North,2025-01-01 04:43:00
T284,P96,Product M,Cat5,2,289.68,S18,South,2025-01-01 04:44:00
T285,P28,Product O,Cat5,9,279.41,S5,South,2025-01-01 04:45:00
T286,P30,Product O,Cat4,2,41.86,S7,North,2025-01-01 04:46:00
T287,P75,Product K,Cat1,9,223.01,S19,East,2025-01-01 04:47:00
T288,P1,Product S,Cat5,3,248.96,S10,East,2025-01-01 04:48:00
T289,P59,Product T,Cat2,4,456.14,S15,West,2025-01-01 04:49:00
T290,P37,Product A,Cat4,5,254.51,S2,South,2025-01-01 04:50:00
T291,P94,Product P,Cat5,5,495.22,S16,West,2025-01-01 04:51:00
T292,P71,Product G,Cat2,8,288.6,S20,South,2025-01-01 04:52:00
T293,P42,Product D,Cat3,7,430.41,S19,North,2025-01-01 04:53:00
T294,P100,Product J,Cat3,6,197.47,S17,West,2025-01-01 04:54:00
T295,P96,Product H,Cat1,1,136.3,S11,East,2025-01-01 04:55:00
T296,P49,Product K,Cat4,1,284.25,S6,West,2025-01-01 04:56:00
T297,P94,Product D,Cat4,3,21.61,S15,East,2025-01-01 04:57:00
T298,P58,Product C,Cat5,7,163.24,S9,South,2025-01-01 04:58:00
T299,P56,Product C,Cat2,6,227.34,S8,North,2025-01-01 04:59:00
T300,P61,Product T,Cat2,10,205.26,S14,West,2025-01-01 05:00:00
T301,P44,Product F,Cat2,5,14.54,S1,West,2025-01-01 05:01:00
T302,P72,Product A,Cat3,2,264.04,S15,South,2025-01-01 05:02:00
T303,P58,Product E,Cat4,4,112.92,S17,East,2025-01-01 05:03:00
T304,P53,Product K,Cat5,2,159.2,S15,North,2025-01-01 05:04:00
T305,P83,Product M,Cat2,1,131.27,S16,North,2025-01-01 05:05:00
T306,P36,Product S,Cat4,5,471.69,S16,West,2025-01-01 05:06:00
T307,P50,Product O,Cat2,9,457.9,S20,South,2025-01-01 05:07:00
T308,P31,Product F,Cat4,7,167.51,S19,North,2025-01-01 05:08:00
T309,P41,Product J,Cat1,6,250.42,S20,North,2025-01-01 05:09:00
T310,P70,Product I,Cat3,7,198.91,S6,West,2025-01-01 05:10:00
T311,P81,Product R,Cat5,5,204.13,S16,North,2025-01-01 05:11:00
T312,P22,Product T,Cat5,4,219.1,S7,North,2025-01-01 05:12:00
T313,P39,Product T,Cat4,6,491.02,S8,North,2025-01-01 05:13:00
T314,P58,Product J,Cat5,8,117.59,S5,North,2025-01-01 05:14:00
T315,P53,Product B,Cat1,8,438.02,S3,West,2025-01-01 05:15:00
T316,P98,Product I,Cat1,4,451.44,S8,East,2025-01-01 05:16:00
T317,P48,Product P,Cat2,1,255.32,S5,South,2025-01-01 05:17:00
T318,P14,Product O,Cat4,5,483.48,S12,South,2025-01-01 05:18:00
T319,P62,Product M,Cat5,8,468.89,S9,East,2025-01-01 05:19:00
T320,P69,Product E,Cat2,5,466.5,S19,West,2025-01-01 05:20:00
T321,P62,Product I,Cat3,9,316.79,S2,North,2025-01-01 05:21:00
T322,P37,Product R,Cat1,4,227.63,S8,East,2025-01-01 05:22:00
T323,P94,Product S,Cat5,3,76.32,S15,North,2025-01-01 05:23:00
T324,P62,Product A,Cat1,3,144.0,S10,East,2025-01-01 05:24:00
T325,P9,Product K,Cat4,10,229.38,S17,South,2025-01-01 05:25:00
T326,P1,Product E,Cat5,2,44.52,S12,North,2025-01-01 05:26:00
T327,P37,Product Q,Cat3,4,467.83,S9,South,2025-01-01 05:27:00
T328,P84,Product K,Cat1,5,118.14,S15,East,2025-01-01 05:28:00
T329,P24,Product I,Cat5,3,71.24,S6,North,2025-01-01 05:29:00
T330,P20,Product G,Cat1,7,215.77,S9,North,2025-01-01 05:30:00
T331,P2,Product H,Cat5,3,104.49,S7,North,2025-01-01 05:31:00
T332,P68,Product C,Cat3,1,465.13,S8,South,2025-01-01 05:32:00
T333,P64,Product L,Cat2,6,57.81,S4,North,2025-01-01 05:33:00
T334,P19,Product O,Cat4,1,497.1,S13,South,2025-01-01 05:34:00
T335,P95,Product R,Cat1,8,217.58,S10,North,2025-01-01 05:35:00
T336,P9,Product O,Cat4,8,282.33,S6,South,2025-01-01 05:36:00
T337,P24,Product N,Cat5,1,462.86,S6,West,2025-01-01 05:37:00
T338,P41,Product F,Cat5,4,404.15,S14,South,2025-01-01 05:38:00
T339,P65,Product R,Cat4,3,342.35,S8,South,2025-01-01 05:39:00
T340,P22,Product G,Cat3,9,399.68,S9,East,2025-01-01 05:40:00
T341,P12,Product P,Cat5,4,231.75,S3,South,2025-01-01 05:41:00
T342,P46,Product L,Cat2,10,96.78,S5,South,2025-01-01 05:42:00
T343,P28,Product B,Cat3,6,485.44,S17,North,2025-01-01 05:43:00
T344,P72,Product G,Cat3,9,58.93,S17,North,2025-01-01 05:44:00
T345,P1,Product R,Cat2,8,103.08,S5,West,2025-01-01 05:45:00
T346,P12,Product E,Cat3,3,474.23,S12,South,2025-01-01 05:46:00
T347,P42,Product L,Cat4,9,178.94,S14,South,2025-01-01 05:47:00
T348,P35,Product G,Cat5,6,134.98,S10,East,2025-01-01 05:48:00
T349,P19,Product M,Cat5,8,172.13,S4,West,2025-01-01 05:49:00
T350,P2,Product J,Cat5,6,287.26,S6,West,2025-01-01 05:50:00
T351,P32,Product H,Cat3,3,286.06,S20,West,2025-01-01 05:51:00
T352,P30,Product P,Cat3,6,204.24,S19,West,2025-01-01 05:52:00
T353,P60,Product R,Cat2,3,487.03,S3,West,2025-01-01 05:53:00
T354,P35,Product R,Cat4,8,270.49,S6,East,2025-01-01 05:54:00
T355,P53,Product R,Cat4,5,134.04,S2,West,2025-01-01 05:55:00
